Word,Text,URL
/цвірін/ч+`а+нн*я,"Якось, прокинувшись уранці, вийшла на балкон, щоб послухати ранковий весняний спів міського птаства Брюсселя. Проте серед звичного для вуха #цвірінчання# синичок і свисту шпаків почула різкі голосні пташині крики, типові радше для тропічних лісів, ніж для камінних джунглів європейського мегаполіса.",https://ukurier.gov.ua/uk/articles/yak-papugi-vidvoyuvali-sobi-misce-pid-bryusselskim/
роз/він/ч+`а+нн*я,"#Розвінчання# радянських міфів про війну сприяє формуванню вільного суспільства, яке думає, а відносні досягнення проросійської політсили спричиняють рецидив захворювання, яке необхідно терміново лікувати.",https://gordonua.com/ukr/blogs/igor-korzh/jedinij-shljah-dlja-ukrajini-domagatisja-posilennja-sanktsij-proti-rf-shchob-globalnij-krok-nazad-stav-dlja-nih-jedino-rjativnim-1529749.html
/б`іль/ш+а+ти,"Кілька наших місцевих партнерів уже повідомили, що за таких цінових умов вони планують зовсім припинити видобуток. Таких випадків буде тільки #більшати#. Тому що ціна на газ дуже низька.",https://www.epravda.com.ua/projects/gazpravda/2020/05/15/660504/
на/маз/`юк+а+н*ий,"Досі фігура мовчала, а в ній самій мало такого, що може про щось нагадати. Це слон, вирізьблений вручну й #намазюканий# білою фарбою; йому дуже далеко до тих дорогих шахів зі слонової кістки, які я бачив у цьому будинку.",http://maxima-library.org/mob/b/468296?format=read
на/маз/`юк+а+ти,"Сподіваюсь, що я знайду час #намазюкати# губи бальзамом. А беру отаку малютку Carmex через те, що вона дуже добре працює і зволожує губи надовго.",http://uliala.blogspot.com/2017/08/blog-post.html
/верз/`як+а+ти,"Дідусь удав, що обурився: йому, каже, важко повірити, що такий дуже поважний пан з такої дуже поважної газети може #верзякати# щось дуже непристойне.",https://www.ukrlib.com.ua/world/printit.php?tid=8515&page=2
о/кол/`яс+а,"Через 18 років ходіння #околяса# один із головних інфраструктурних проектів України нарешті реанімували. Однак не все так просто- на втілення ""рожевої мрії"" ще потрібно знайти кілька мільярдів доларів.",https://ua.112.ua/statji/kyivska-nedookruzhna-na-shcho-peretvorylosia-budivnytstvo-stolittia-navkolo-stolytsi-559857.html
/в`ін/ч+а+н*ий,"Андрій Шекета- #вінчаний# кум політичного експерта Олександра Солонтая, колишнього ужгородця; очолювана цим фахівцем політична партія ""Сила людей"" безславно програла парламентські вибори 2019 року.",https://zakarpattya.net.ua/News/207843-Petrov-zaproponuvav-na-posady-zastupnykiv-holovy-Zakarpatskoi-oblrady-Mana-i-Sheketu
/маз/`юк+а+ти,"Навчаючись у школі, любив сидіти за останньою партою і #мазюкати# щось ручкою у зошиті. Каліграфія прийшла в моє життя поступово. Замислюючись над професією, вирішив стати мультиплікатором.",https://theukrainians.org/taras-makar/
зу/стрі/ч+`а+j+уч*ий,"#Зустрічаючий# повинен першим представитися клієнта і, якщо це необхідно, проводити його та посадити на те місце, де він повинен знаходитися під час консультування.",https://savor.ucoz.ua/news/zustrichajuchim_povinen_pershij_predstavitisja_klienta_i/2009-09-28-51
